entity_name,entity_lei,reference_date,datapoint_id,value,unit
Banco Iberia SA,5493001KJTIIGC8Y1R12,2025-12-31,J 05.00 r0010 c0010,-412000000,EUR
Banco Iberia SA,5493001KJTIIGC8Y1R12,2025-12-31,J 06.00 r0010 c0010,156000000,EUR
Banco Iberia SA,5493001KJTIIGC8Y1R12,2025-12-31,J 07.00 r0020 c0010,12.4,%
Banco Iberia SA,5493001KJTIIGC8Y1R12,2025-12-31,F 18.00 r0070 c0010,2340000000,EUR
Banco Iberia SA,5493001KJTIIGC8Y1R12,2025-12-31,F 19.00 r0080 c0010,1120000000,EUR
Banco Iberia SA,5493001KJTIIGC8Y1R12,2025-12-31,OUT 01.00 r0010 c0050,Yes,Y/N
Banco Iberia SA,5493001KJTIIGC8Y1R12,2025-12-31,ICAAP 02.00 r0030 c0010,8900000000,EUR
Banco Iberia SA,5493001KJTIIGC8Y1R12,2025-12-31,F 12.01 r0010 c0010,1450000000,EUR
Banco Iberia SA,5493001KJTIIGC8Y1R12,2025-12-31,REC 01.00 r0010 c0010,14.2,%
Banco Iberia SA,5493001KJTIIGC8Y1R12,2025-12-31,INC 01.00 r0010 c0010,No,Y/N
Banco Iberia SA,5493001KJTIIGC8Y1R12,2025-12-31,HE 01.00 r0010 c0010,37,count
